"TABLE_SCHEMA","TABLE_NAME"
"administracion","impuesto"
"administracion","moneda"
"administracion","secuencia_documento"
"auditoria","bitacora_transaccion"
"bancos","conciliacion_bancaria"
"bancos","conciliacion_bancaria_detalle"
"bancos","cuenta_bancaria"
"bancos","estado_conciliacion_bancaria"
"bancos","movimiento_bancario"
"bancos","tipo_movimiento_bancario"
"bancos","transferencia_bancaria"
"caja","arqueo_caja"
"caja","desglose_arqueo_caja"
"caja","detalle_denominacion_arqueo"
"caja","movimiento_caja"
"caja","recibo_oficial_caja"
"caja","sesion_caja"
"captaciones","captacion_cliente"
"captaciones","movimiento_captacion"
"captaciones","producto_captacion"
"clientes","cliente"
"clientes","historial_prospecto_cliente"
"clientes","prospecto_cliente"
"clientes","solicitud_eliminacion_cliente"
"cobranza","asignacion_cobranza_credito"
"cobranza","bitacora_gestion_cobranza"
"cobranza","canal_gestion_cobranza"
"cobranza","clasificacion_cobranza"
"cobranza","conciliacion_promesa_pago_credito"
"cobranza","estado_promesa_pago"
"cobranza","gestion_cobranza_credito"
"cobranza","promesa_pago_credito"
"cobranza","resultado_gestion_cobranza"
"cobranza","tipo_contacto_gestion_cobranza"
"cobranza","tipo_gestion_cobranza"
"compras","factura_proveedor"
"compras","factura_proveedor_detalle"
"configuracion","asignacion_plantilla_formato"
"configuracion","bitacora_formato"
"configuracion","bloque_plantilla_formato"
"configuracion","catalogo_operativo"
"configuracion","documento_generado"
"configuracion","parametro_impresion_formato"
"configuracion","parametro_visual_empresa"
"configuracion","plantilla_formato"
"configuracion","plantilla_formato_version"
"configuracion","plantilla_variable_permitida"
"configuracion","preset_impresion_formato"
"configuracion","recurso_visual_formato"
"configuracion","tipo_documento_formato"
"configuracion","variable_formato"
"contabilidad","asiento"
"contabilidad","asiento_detalle"
"contabilidad","catalogo_cuenta_muc"
"contabilidad","catalogo_muc_detallado"
"contabilidad","centro_costo"
"contabilidad","configuracion_asiento_pago_credito"
"contabilidad","configuracion_asiento_transaccion"
"contabilidad","configuracion_asiento_transaccion_detalle"
"contabilidad","configuracion_saneamiento_credito"
